pre_tax_amount,tax,post_tax_amount,amount_tendered
0.99,0.03,1.02,1.02
0.99,0.05,1.04,20.05
58.29,0.11,58.4,58.4
2.38,0.21,2.59,3
39.98,0,40,40
3.96,0.28,4.24,20.25
2.38,0.21,2.59,3
30,0,30,30
3.78,0.26,4.04,10
0.59,0.04,0.63,0.63
3,0,3,5
0.69,0.04,0.73,0.73
1.59,0.05,1.64,2
41.12,0,41.12,41.12
0.59,0.04,0.63,1
0.59,0.04,0.63,1
2.69,0.19,0.01,0.01
13,0.07,3.07,5
3.37,0.24,3.61,20
10,0,10,10
50,0,50,50
5.98,0,5.98,6
20,0,20,20
1.19,0.06,1.25,2
2.88,0.12,3,5
0.99,0.05,1.04,5.1
54.7,0,54.7,54.7
25.99,1.82,24.81,25
26.25,0,0.25,0.25
19,0,19,19
4.02,0,4.02,20.02
0.59,0.04,0.63,1
18.2,0.76,18.96,20
0.99,0.07,1.06,1.06
1.29,0.04,1.33,20
4.16,0.18,4.34,5
7.15,0.02,7.17,7.17
0.99,0.09,1.08,1.28
20,0,20,20
18.88,0,18.88,18.88
7.42,0,7.42,7.42
3.49,0.24,3.73,10
0.99,0.05,1.04,2
1.88,0.1,1.98,5
23.3,0,23.3,23.3
1.99,0.14,2.13,2.25
33.44,0,33.44,33.44
39.2,0,39.2,40
0.99,0.06,1.05,2
20,0,20,20
29,0,29,29
16.37,0,16.37,100
6.03,0.3,6.33,6.5
2,0,2,2
2.89,0.17,3.06,4
20,0,20,20
10.01,0,10.01,11
5,0,5,5
7,0,7,7
15.52,0.31,15.83,16
1.59,0.03,1.62,2
1,0,1,1
5.46,0.15,5.61,20
2.99,0.21,63.2,80.25
6.47,0.53,7,7
35.88,0,35.88,35.88
1.24,0.09,1.33,1.5
6.09,0.08,6.17,50
1.1,0,1.1,1.1
6,0,6,6
35,0,35,35
2,0,2,2
4,0,4,20
2.37,0.05,2.42,3
8.99,0.81,4.8,4.8
84.43,4.98,89.41,100
11,0,11,11
2,0,2,2
7.49,0.52,8.01,20.01
3.24,0.16,3.4,3.4
6.23,0.2,6.43,7
1.98,0.14,2.12,20
5,0,5,5
3.04,0.15,3.19,5
10.32,0.06,10.38,10.38
5,0.25,5.25,6
1.29,0.04,1.33,1.35
35.97,2.16,38.13,38.13
4.68,0.33,5.01,20
22.14,0.03,22.17,50
4.68,0.23,4.91,5
11.98,0.14,12.12,12.2
0.25,0.02,0.27,1
1.59,0.1,1.69,2
10,0,10,10
20,0,20,20
4.8,0.44,5.24,20
