cat_name,desc,price
General Merchandise,FILM KODAK FILM 35MM ASA 100,5.59
Health & Beauty Care,PAIN TYLENOL EX ST TABLETS 30 CT,5.59
Health & Beauty Care,HBA BEN GAY GREASELESS               2.0,5.59
Non-edible Grocery,SOAP WOOLITE RUG CLEANER 22OZ,5.59
Automotive Products,AUTO PLASTIC GAS CAN 2 GAL,5.49
Automotive Products,AUTO ARMOR ALL PROTECTANT 8 OZ,5.49
Health & Beauty Care,COLD VICKS FORM 44 4OZ,5.49
Health & Beauty Care,SINUS DURATION NASAL SPRAY,5.49
Non-edible Grocery,COFFEE MAX HOUSE DECAF AUTO DRIP,5.49
Health & Beauty Care,COLD VICKS FORM 44D 4 OZ,5.39
Health & Beauty Care,PAIN TYLENOL EX ST GELCAP 24 CT,5.29
Health & Beauty Care,PAIN ALEVE CAPLETS 24CT,5.29
Frozen Foods,RED BARON FAMILY PEPPERONI      23.00 OZ,5.19
Frozen Foods,RED BARON FAMILY CHEESE         22.70 OZ,5.19
Frozen Foods,RED BARON FAMILY SUPREME        25.50 OZ,5.19
Health & Beauty Care,HBA UNISOM SLEEPING TABLETS 8 CT,5.19
General Merchandise,BATTERY COMMANDER FLASHLIGHT,4.99
General Merchandise,BATTERY DURACELL ALK BATTERY 4PK AA,4.99
General Merchandise,BATTERY EVEREADY ALK BATTERY 4PK AA,4.99
General Merchandise,BUG KIWI STING KILL,4.99
General Merchandise,BUG RAID FLY INSECT KILLER 12 OZ,4.99
General Merchandise,SUN SUNGLASS CLASSIC SPORT #95054,4.99
General Merchandise,SUN SUNGLASS MERCHANT      #96063,4.99
General Merchandise,SUN SUNGLASS COSMOPOLITAN  #96064,4.99
General Merchandise,SUN SUNGLASS FORMULA I     #96065,4.99
General Merchandise,SUN SUNGLASS METAL SPORT   #96066,4.99
General Merchandise,SUN SUNGLASS SOPHISTICATE  #97077,4.99
General Merchandise,SUN SUNGLASS BLUES,4.99
General Merchandise,SUN SUNGLASS AVIATOR,4.99
General Merchandise,SUN SUNGLASS ROUND CLIP ON,4.99
General Merchandise,SUN SUNGLASS OVAL CLIP ON,4.99
General Merchandise,SUN SUNGLASS CLIP ON,4.99
General Merchandise,SUN SUNGLASS KIDS CARDED ATTACHMENT,4.99
General Merchandise,SUN SUNGLASS POLARIZED CLIP ON,4.99
General Merchandise,SUN SUNGLASS CROAKIES CORD,4.99
General Merchandise,SUN SUNGLASS CLEAN & CARRY BAG,4.99
Health & Beauty Care,Unknown Longname,4.99
Health & Beauty Care,CHILD TYLENOL ELIXIR 2 OZ,4.99
Health & Beauty Care,LAX EX LAX TABLETS 18 CT,4.99
Health & Beauty Care,ACID MAALOX PLUS TABLETS 50 CT,4.99
Health & Beauty Care,ACID PEPTO BISMOL TABLET 30 CT,4.99
Health & Beauty Care,ACID TAGAMET HB-200 6CT,4.99
Health & Beauty Care,COLD VICKS NYQUIL 6 OZ,4.99
Health & Beauty Care,COLD VICKS NYQUIL CHERRY 6 OZ,4.99
Health & Beauty Care,CREAM STRIDEX MAX PADS 55CT,4.99
Health & Beauty Care,CREAM STRIDEX MAX PADS 55CT,4.99
Health & Beauty Care,FEM ALWAYS MAXI PADS,4.99
Health & Beauty Care,FEM ALWAYS MAXI W/WINGS,4.99
Frozen Foods,FROZEN WEAVER PARTY PAK SP,4.99
Frozen Foods,FROZEN MRS SMITH PUMPKIN PIE,4.99
Non-edible Grocery,CHARCOAL KINGSFORD CHARCOAL,4.99
General Merchandise,LOG BUNDLED FIREWOOD,4.99
Non-edible Grocery,BAKE MCCORM IMIT VANILLA,4.99
